location,rating,review,review_date,type_of_visit,date_of_visit,country,latitude,longitude
"Singapore, Singapore",5.0,"Borobudur Temple deserves to be named of the ancient wonders of the world. Borobudur temples offers great landscape and the carvings engraved on its walls tell many stories. Among the stories, it tells the stories of the Buddha and one of the lands' queens. However, my family did not know this because we did not hire a tour guide. I highly recommend hiring a knowledgeable tour guide so they would be able to guide you through the temple. This is a day time activity and I would recommend covering you shoulders and knees as a sign of respect to the temples. Overall, the temple has been restored and I highly recommend going.",2016-03-24,Family,2016-03,singapore,1.357107,103.8194992
"Mooloolaba, Australia",5.0,"Everyone loves this place and justly so. But I'm going to suggest an add on - if you visit with a driver, get them to take you to the Chicken Church as well. Only about ten minutes drive and then a steep walk up a paved track through the rainforest and there it is. Absolutely bonkers. A 10000 rupiah donation lets you climb up a steep wooden staircase into and on to the chickens head. Fabulous views. And pure corny nonsense. Honestly, it was a massive highlight of my visit!",2016-03-24,Solo,2016-03,australia,-24.7761086,134.755
"Jakarta, Indonesia",5.0,"Maybe because we go there at holiday season, it's too crowded that we struggle to take photos. but overall it's nice and the scenery from the top was awesome. wonderful.",2016-03-24,Friends,2015-04,indonesia,-2.4833826,117.8902853
"Osceola, Indiana",5.0,"Just got back from a great experience in Borobodur!  This was made possible by renting a car and competent driver who drove safely and knew all places.  He picked us up at the airport, took us to our hotel, to sunrise spots, to Borobudur, to the volcano, and a number of temples and sights in Yogyakarta and surrounding areas.His vehicle is well used and his price is very competitive.  His command of English and his knowledge of restaurants etc.  is one of the best I have found while travelling/living in Indonesia.  You can contact/text Eko directly at (62)858 7830 5760.  He was a big part of making our holiday a hassle free experience for us.",2016-03-23,Couples,2016-03,united states,39.7837304,-100.445882
"Jakarta, Indonesia",5.0,"I live in Indonesia for whole my life and never visit here.  When i visit here so suprise it is better than than outside country, clean, proper maintain.",2016-03-23,Family,2016-03,indonesia,-2.4833826,117.8902853
"Kuala Lumpur, Malaysia",5.0,"The Borobudur Temple in Magelang was a sight to behold. It was just like what I seen  in my school text book long time ago but funny though its not as vast as I imagined it would be. However the structure is very impressive and filled with details of sculptures and stones. Fatimah the tour guide gave an excellent tour and I recommend that you use a tour guide as you will appreciate the history and knowledge of the site. When I was there it was in mid afternoon and it was very hot with the sun beating down on us from all angle. Be prepared to come with hat or cap, sun glass and enough supply of water. Wear a good sport shoe as there will be many stairs to climb.",2016-03-23,Friends,2016-02,malaysia,4.5693754,102.2656823
"Kuala Lumpur, Malaysia",1.0,"I took public transportation from Yogyakarta city to the Borobudur for 2 hours only to find out that they charge more than 800% higher for foreigners. Locals only pay 30,000.00 IDR (aroud 2 USD) and they charge 260,000.00 IDR (20 USD) for foreigners. That's crazy! I don't know who approves such but it's really crazy. So after 2 hours bus ride, I only stayed for 5 minutes since I don't have cash to pay for the amount and had to head back to the city for another 2 hours bus ride. It was very frustrating! So if you're going there, prepare some cash. By the way, the bus drivers are trying to cheat you too by charging much for the bus ride. It's only 15,000.00 IDR but they would tell you to pay 25 or 30K IDR instead.",2016-03-23,,2016-03,malaysia,4.5693754,102.2656823
"Adelaide, Australia",4.0,"Again one of the highlights for me to visit Jogja and was mesmerized by the architecture and details which survive of the entire temple complex. Each individual pagoda has a form of Buddha within which I only realised after seeing one of them without a top! However, once again vandalism and pretty shabby restoration by the Dutch and following governments reared its head and I was indeed disappointed about the way it was done. Nonetheless, definitely worth a visit for the spectacular view and architecture!",2016-03-23,,2016-03,australia,-24.7761086,134.755
"Bali, Indonesia",4.0,"The temple itself was really amazing and stunning! They take care of the garden on the way from the gate to the temple nicely. What I don't like much from this place is, just like most attraction sites in Indonesia, they take much more expensive entrance fee for foreign tourists. Also you have to be careful of the souvenir sellers who usually will multiply the prices to foreign tourist. But overall this is a must see site if you visit Indonesia",2016-03-22,Friends,2015-07,indonesia,-2.4833826,117.8902853
Vietnam,5.0,"This amazing temple is one of must-see tourist attractions in Java. It takes around 1 hour transfer from Yogjakarta city. This huge monument is located in a green valley and consists of nine stacked platforms, six square and three circular, topped by a central dome. Amazing decoration with more than 2000 relief panels and hundreds of Buddha statues. Although many reliefs and statues have been destroyed because of earth quakes and time, the site remains its endless charm.",2016-03-22,Solo,2015-04,vietnam,15.9266657,107.9650855
Indonesia,3.0,"amazing architecture and spiritual place, I came here not in high season but still difficult to take perfect picture. The only I hate from this area was the exit. I have to walk maybe around 2km with annoying seller along the way.",2016-03-22,,2016-03,indonesia,-2.4833826,117.8902853
,5.0,Nature and history has eroded the past glory. But what remains bear testament of what human faith and belief can achieve.,2016-03-21,Couples,2016-03,,,
"Jakarta, Indonesia",5.0,"If you from yogjakarta, it will takes 1 hour to go borobudur in the morning. For enjoy sunrise in borobudur you have reservation at manohara hotel. You have to arrived at manohara hotel before 4.30 am. Entry ticket for foreigner 400.000 rupiah include breakfast.",2016-03-20,Friends,2016-03,indonesia,-2.4833826,117.8902853
"Singapore, Singapore",5.0,Impressive structure and architecture. The crowd builds up on the weekend so go early if possible.A pity that many of the statue heads were taken away.,2016-03-20,Couples,2016-03,singapore,1.357107,103.8194992
Amsterdam,5.0,"A beautiful temple, about 1,5 hours driving from Yogjakarta.Modern reception area - easy access for baby strollers and wheelchairs.Very helpful staff.A must see when in Indonesia.",2016-03-19,Family,2016-03,netherlands,52.2434979,5.6343227
"Munich, Germany",4.0,"Overseas visitors pay a helty entrance fee and have to jostle with big crowds. Really too hot after 9am, so earlier trip recommended for those who want to climb to the top.-Even sunhat,umbrella and cold drinks could not keep the scorching sun out. very confusing and tiring labyrinth of stalls selling the same bags,batik T shirts etc. spoil the religious and spiritual feel of this otherwise wonderful Unesco buddhist heritage...would like to revisit by staying in nearby hotels so as to see it /climb in cooler temperatures to the top.",2016-03-18,,2015-11,germany,51.1638175,10.4478313
"Krimpen aan den IJssel, The Netherlands",5.0,"Not only the temple itself is impressive, so are it's surroundings. Pretty view from the top of the temple. Very touristy but for us it was a nice place to meet a lot of people, because everyone wanted to take pictures with us. Excellent experience!",2016-03-18,Friends,2016-02,netherlands,52.2434979,5.6343227
"Calgary, Canada",5.0,"Ensure your shoulders and knees are covered - if not I know we were provided sarongs for those who needed (returned before exiting). We had a guide from our bus tour and although he was very informative, he was almost too informative for such a hot, humid day.  We were able to explore all levels of the temple, but at times the crowds make it quite difficult to get that spectacular picture!  Please ensure you leave yourself enough time to sit back and take in the serenity and beauty of this Temple.  Would visit again.",2016-03-17,Couples,2016-03,canada,61.0666922,-107.991707
Timaru,5.0,"It's a fact that there will never be another Borobudor, and it's truly spectacular.  It's very well-kept.  With passing of time, and the fact that it was bombed by extremists more than a decade ago, Borobudor is still standing.  Metaphorically, this is a testament to the values of people here in Indonesia particularly in Java.  Javanese here are tolerant and accepting.  It's common here to see mosques that are built with Hindu architectural cues, and you would get to see Chinese Temple being placed next to a mosque.  It's simply a way-of-life here.  Back to Borobudor, as you walked around the Buddha statues, you would also get to see murals of the origin of Buddha, and also about the story of Java itself.  Some of the statues at the Temple happened to be Chinese traders that came to this shore centuries ago!  It's been said that Borobudor is discovered by Sir Stamford Raffles, but local people would say to you logically that local villagers have known the Temple all along, and it so happened that when Stamford Raffles was the Governor of Java that he wrote a story about it.  The reality of the matter is that he never actually visited the site but his assistant.  Standing on the pinnacle of Borobudor, I tried to imagine the Kingdoms that had come and gone.  Java is such a melting pot of cultures and it's an assuring thing talking to the locals, of their proclaimation of affection for it despite that it's a non-Muslim relic (unlike the Buddha statue that's been bombed into pieces at Bamiyan).  To visit Borobudor is to give you a condense historical lesson of Java itself.  A must-do in anyone's bucket list.  Another profound thing that I have learnt from the local people is that whilst many yoga pant ladies are posing themselves meditating onsite to symbolise peace, peace according to them could be found anywhere.  One aspect that might ruin your visit there would be persistent hounding of souvenir sellers that wouldn't let you be.  That being said, my ever practical guide told me that everyone's doing their best to make a living.  It happened to be the choice of souvenir sellers to do what they do, and he urged me to have more compassion (so true).  Last but not least, in response to one of the reviews written here about them being stalked by Indonesian students, it's a novelty for them to have their pictures taken with overseas visitors.  Indonesians are immensely proud of their motherland, and they are appreciative when we visit Indonesia.  This is their way of proclaiming their gratitude by sharing humanity with a smile, and there's nothing wrong with it.  Come here early, but during rainy reason, refrain from doing the sun rise tour because you might not get to see the sun at all.  Later in the morning, school groups start coming in droves and you might need to fend off premium viewing sites from the selfies crowd!!",2016-03-17,Solo,2016-03,new zealand,-41.5000831,172.8344077
singapore,4.0,"If you have not been to Borobudur Temple during your Yogja trip, then it could be consider you've never been to Yogja. Borobudur Temple is the icon of Yogja and yes something you shouldn't leave out from your itinerary! It is a buddhist temple dating back since 8th century and a World Heritage site.We (4 ladies) were picked up from our hotel (Hotel Tentrem) at 4am and headed straight to Manohara Hotel. Make sure you don't leave after 4am as the ride is about an hour. Upon arrival, you'll have to go through security scans before purchasing your tickets. Price of the Borobudur Temple for SUNRISE is:- Foreigners IDR400k- Locals IDR270kI would suggest you to go for the sunrise because:1. If you're already there, why not? 2. Its a good view (provided the weather is good)3. Before 8am its not open from the other gates where locals swarm in and in large groups! They came in while we were still at the temple and the temple basically was very very crowded and yes you won't have a good picture. Things to take note:- Go earlier to get yourself a good place to catch the sunrise- There were locals in school uniform that came in groups, seem like they were on a school excursion. However there were other groups that were not in their school uniforms. We weren't sure of our safety because they tried to come very close to us and followed us during our stay in the temple. We couldn't be sure if we have unknowingly became a ""target"" or they were just innocent locals in their adolescence who were curious about foreigners. They did asked for a few photos with us and I had agreed to. My friends on the other hand were pretty skeptical of their intention as we were being followed around. There were staff around who would make sure visitors do not do the ""DO NOTS"" but they did not tell the teenagers not to follow foreigners. We felt as though we were being stalked. Would appreciate if were notified earlier from the hotel staffs about such behaviour so that we wouldn't get a shock when we were being followed around.",2016-03-16,Friends,2016-03,singapore,1.357107,103.8194992
"Winnipeg, Canada",5.0,"Well worth it. If you take someone that needs a wheelchair you will not be able to go up the Temple it is stairs with a high risers. If you take someone to the base hire the help to push the wheel chair well worth it very bumpy at first then steep.It cost $400,000 Rp for 2 guys.",2016-03-15,Family,2016-02,canada,61.0666922,-107.991707
"Subang Jaya, Malaysia",5.0,"We were picked up from our hotel at 3.30am and arrived at the Manohara Hotel where the tours start from. This hotel is located inside the Temple complex. We had an informative guide, Fatah. It is a short walk and maybe about 3 or 4 flights of steep stairs to reach the temple. Find yourself a seat and wait for the sun to rise. In the background you can see the mountain range. The temple is amazing, the details of the murals which tell the life story of Buddha are still intact. Our guide was really knowledgeable with the stories behind the murals. Be aware of touts selling souvenirs, they are very persistent ! After the tour the hotel provided coffee/tea and snacks. The tour finished about 8-8.30 am.We went through a tour agency but the price on the tickets were rp400,000.00 per person (foreigner).",2016-03-15,Family,2016-03,malaysia,4.5693754,102.2656823
,4.0,"I've been here on 2006 for my heritage study trip with my fellow studio mates & lecturers. Can't really tell you how to get in here because I just follow the group and not pay much attention on the journey. This is a Javanese Sacred place, temple for ritual process but now due to its high agricultural fertility... it has been dubbed as a Garden of Java.My concern was not on its functions or purposes but more on the structure, design and ornamentation. Located in Central Java, Indonesia, northwest of Jogjakarta and been there since 8-9th century. (Did some research before) After about an hour exploring this temple we then headed to an ancient Hindu temple, Prambanan.",2016-03-14,Business,2015-04,,,
"Stockholm, Sweden",5.0,"Have been to Borobudur five times now between 2011-2016. Like to go there. Its beautiful and worth a visit.Best to go there in early morning, less crouded and not so hot.",2016-03-14,Couples,2016-01,sweden,59.6749712,14.5208584
"Calpe, Spain",5.0,"Borobudur is a simply outstanding monument to Buddha, lost under earth for centuries it is now magnificent, much as it must have looked when it was first built.It was a VERY hot day, and with our excellent guide we took our time. One stage at a time we climbed to the top, and then, in the tradition, processed around the central stupa (dome).",2016-03-13,Couples,2016-03,spain,39.3260685,-4.8379791
"Bournemouth, UK",5.0,"Wow! Difficult to find without some local knowledge but well worth seeking out. This incredible structure was unearthed by Stanford Raffles in 1812, what a sight it must have been. Situated on high ground with stunning views of a neighbouring (active) volcano the location alone is enough to inspire without even considering the wonderful Temple. The advice to visitors is, out of respect to the temple, to walk around it 3 times before climbing to higher the levels. I strongly recommend you do this, I am not a spiritual person but I certainly enjoyed a spiritual experience on my way around. Find out for yourself! The temple itself is a wonder of detail, look and you will see more and more. Amazing!The only downside is the ambush of curio sellers that will pounce on you from the moment you step out of your car. They do not go into the confines of the temple but will be waiting for you when you emerge, you then have to run the gauntlet of an entire market of sellers on the way to the exit. It kind of ruins the tranquility of the temple experience.Seek this place out, you never know what you will find.",2016-03-11,Friends,2016-02,united kingdom,54.7023545,-3.2765753
,5.0,"Borobudur Temple is an awesome ancient Buddha temple, located in Magelang, not too far from Yogyakarta. I've visited this temple many times, at different times and weather, and for my the most ideal time is during less-cloudy sunrise. I suggest you to stay in Manohara Borobudur since this is the only hotel that provide direct sunrise tour (if you stay in other hotels, you would need pay extra and probably wake up earlier).If you visit this temple at regular hour, Borobudur would be very crowded since this is a popular destination for local school tours. Be careful if you visit this temple during rainy season, since the stairs and the ground could be slippery. It's better to wear hat and comfortable footwear. This temple might not be very suitable for elderly or younger children due to the steep stairs. Be a respectful visitors because Borobudur is a sacred temple for some people, wear proper clothing, don't throw any trashes, and follow the rules.",2016-03-09,Family,2016-03,,,
"Kuala Lumpur, Malaysia",5.0,"Went on a sunrise tour to Borobudur. It was simply awesome with the view of Mt. Merapi. The temple and its surrounding was so serene even with the crowd. It was kind of a rushed tour. Would have loved to spend more time there. Try to do it on your own, you'll get to linger around for a longer time. Definitely a must see.",2016-03-09,Solo,2016-02,malaysia,4.5693754,102.2656823
"Ubud, Indonesia",4.0,the borobudur was amazing! so impressiveplease be advised to buy your ticket though the hotel. Much cheaper. And don't exit though the market. It s 15 minutes of people hassling you after such a wonderful impressive experience and really is a downer. Cannot believe there are so many shops. It took us 10-15 minutes to race through them.,2016-03-09,Family,2016-03,indonesia,-2.4833826,117.8902853
"Singapore, Singapore",5.0,"Woke up at 3am was picked up from the airport,travelled ard an hour to Borobudur. It was still dark when we arrived. I had my kid who was 3yrs old then. Bought the tickets amd walked all the way up the temple to see the most beautiful sunrise you could ever imagined . A once in a lifetime must do!!",2016-03-07,Family,2015-04,singapore,1.357107,103.8194992
"Amsterdam, The Netherlands",5.0,"Borobudur is simply one of the creations by mankind that you have to see....before it is too late. It worries me that the building has no cctv camera's of any kind, and only a hand full of uninterested guards to protect it, who are too lazy to come of their a... chair and actually clime the stairs, and visit the temple themselves to see what visitors are doing with it. This building is full of unique 9th century inscriptions, but they will fade away under the hands of millions of ignorant tourists who touch them! No wonder extremists were able to bomb the upper terrace of the Borobudur in 1985. This could so easily happen today under the current situation.",2016-03-07,Couples,2016-02,netherlands,52.2434979,5.6343227
Singapore,5.0,Went to visit this temple on a rainy day. The rain didnt dampen the mood. The security guard actually brighten our visit as he was very comical n artistic when helping us to take photos.the sculptures were well maintained and i felt peaceful by looking at the stones sculptures. Simply love.Entrance fee around usd26.,2016-03-06,Friends,2016-03,singapore,1.357107,103.8194992
BSB,5.0,"We hiked up here before sunrise ...  And it was totally worth the view! This place is calm, serene  & sbsoluotely stunning a it seems to have s character of its own.",2016-03-06,,2016-03,brunei,4.4137155,114.5653908
,5.0,"I don't know how to say it, but it just an amazing place. On top of the borobudur, the view is wonderful. When I was there, it was under light rain, well at least it's not hot up there. If only they have booklet or cheaper price for local tour guide, it will be better. So people can go home with knowledge, not only with great picture. And if you would like to buy a souvenir, you can buy it way cheaper in the shop, not from the person who sold souvenir after you exit the borobudur temple. You will pass the shop when you get back to your parking lot.",2016-03-06,Solo,2016-03,,,
"Chennai (Madras), India",5.0,"Had an opportunity to visit this 9th century Buddhist Temple.  Amazing Architecture and think of building such a massive structure is mind-boggling. There are separate tickets for locals and foreigners  (like in many other places). Ticket for foreigners is 10 times more than that of locals. For this you get either a cup of Tea or Coffee or a small bottle of mineral water.Like most religious places, unfortunately,  Borobudur is also plagued with money making people. Walking sticks, umbrellas and guides are available for rent. If it going rain, it is better to hire one from inside the temple as there are simply not shelters.On exiting the temple, you will be surrounded by people trying to sell you stuff. Keep walking and if you are really interested, you could buy the stuff at a lower price in shops further to the exit.",2016-03-05,Friends,2016-03,india,22.3511148,78.6677428
,5.0,"My friend and I visited Borobudur with the intention to catch the sunrise at the grand compound. We arrived at the temple at about 4.30am while it was still dark and cool outside. The entrance fees for watching the sunrise is quite steep (US$35-40), as compared to the normal entrance fees (US$25). Be prepared to not be able to see clear outlines of the sun rising as it can get quite foggy. But it was a sight to behold (even in the fog and all). We stayed at Borobudur for a good 4-5 hours even after the run rose. Soaking in the morning sun at the temple, while watching the landscapes around you change and come into full view as the sun rose was one of the best experiences of my trip to Yogyakarta. I would highly suggest going in the wee hours in the morning as the sun can be very punishing mid-day onwards.Great architecture and full of historical values.",2016-03-04,Friends,2016-02,,,
"Jakarta, Indonesia",5.0,This is not just the dead artifact. It hails your soul and cares the inner beauty of the self. It stands to serve one's beautiful mind.,2016-03-04,,2015-04,indonesia,-2.4833826,117.8902853
,5.0,"We came for the sunrise - on a cloudy day 😕.But the place is still amazing, though it is the most touristy place we visited in Indonesia. It is pretty hard to get that perfect picture - because there is people everywhere (mostly seniors from Holland 😊)But if you wait a bit you will get fine pictures. But it is a struggle if you want the perfect sunrise and temple.",2016-03-03,Friends,2016-03,,,
"New York City, NY",5.0,The temple is huge and you can spend hours exploring the details in the stonework over each of the various levels of the Candi.  Go at sunrise.  It is worth it.  The views at sunrise are spectacular.,2016-03-03,,2016-02,united states,39.7837304,-100.445882
"Ubachsberg, The Netherlands",5.0,"During a business trip to Semarang, our agent was so kind to organise a short trip to Borobudur and Jogjakarta.The temple was very impressive although our visit was short due to our tight schedule. It is really worthwhile visiting. The only minor was that you are bothered by persistent souvenir sales people.",2016-03-03,Business,2016-02,netherlands,52.2434979,5.6343227
Jakarta Timur,5.0,Having sunrise experience here is amazing and unforgettable. And we are so lucky that we can see also rainbow. There is many stories behind and is very interesting to know.,2016-03-03,Couples,2016-02,indonesia,-2.4833826,117.8902853
"Mandurah, Australia",5.0,This is one of the most important Buddhist Temples in the world and is well worth a visit. We went on a small group tour with a local guide  which made the experience even better. There are many steps to climb if you wish to go to the top of the temple. As with any tourist attraction the hawkers can be a nuisance. However the strategy of no eye contact and a shake of the head usually works.,2016-03-03,,2016-03,australia,-24.7761086,134.755
Sydney,5.0,"Maria and I organized our visit of the magnificent temple through our Hotel, the Grove Express Timoho, Yogyakarta. It was the K2 tour, cost 140.000 I Rupia, which included  a beautiful sunrise from Setembu Hill (entrance Rp 30.000 pp) from where one views numerous extinct volcanoes and the very active and dangerous Merapi Volcano. The tour company employed by the Hotel was excellent. We left the Hotel at about 4 a.m. Yes, so early in order to sight the sunrise. We were then taken to the Borobudur. We bought  a Package Ticket costing US$ 30 pp. It gave us access also to the Prambanan (see review under that heading on tripadvisor).The Borobudur soothes the soul. It is pyramidal in structure with each level possessing a powerful message, in beautiful bas-reliefs, of the ascent of a human being from the base passions, to the passions of the mind to  Buddhahood, depicted in statues in a state of equanimity. The final Stupa is the attainment of Nibbana where Karma, the fuel for rebirth has ceased completely.There were numerous school children and we were also privileged to see a high ranking Tibetan Lama who, we were told, undertakes this pilgrimage every year.The complex is well looked after and the care, attention, respect paid by Indonesians to this venerated Buddhist complex, we hope, will be continued as it is the sign of tolerance of other Religions.",2016-03-03,Couples,2016-02,australia,-24.7761086,134.755
"Kuala Lumpur, Malaysia",5.0,"It was wonderful to be able to learn the history of this temple but   engage a tour guide, altho have to pay but it was so worth it!!!",2016-03-02,,2016-01,malaysia,4.5693754,102.2656823
"Todmorden, UK",5.0,Breathtaking - lots of amateur photographers illuminating the darkness before sunrise a bit irritating though!,2016-03-02,Family,2016-02,united kingdom,54.7023545,-3.2765753
"Kuala Lumpur, Malaysia",4.0,"You need to do your fair sharing of reading about the temple for a better experience.Of course, you could hire the tour guide, but I am not so sure how effective they are.Tips:1)	Do bring your student ID if you have one, you will get DISCOUNT !2)	Bring water, it is really FREAKING hot3)	Be as early as possible, if you do not plan to opt for the SUNRISE package (additional $$ is required for sunrise)4)	When EXIT DO NOT follow the EXIT sign board … it is really CRAZY & long route… You just head to Manohara Hotel & exit from there on … TRUST ME on this!5)	 Some items/souvenirs are worth to purchase, as you can’t get them at the Malioboro Street, make you BARGAIN!!",2016-03-02,Couples,2015-10,malaysia,4.5693754,102.2656823
"Kinsale, Ireland",5.0,"Difficult site to get too if you have not preplanned your journey, but once there it is truly an amazing site. I visited in the middle of the day (bad mistake over 30C) and had an excellent lunch onsite before touring the site. The temple is hugely impressive but not for someone who has walking difficulties as there are lots of steps and a few ramps. Make sure to have a towel for sweating and plenty of bottled water as the humidity was a little too much for me. Local craft sellers are very annoying if you are prepared to put up with them, but the staff at the site are very friendly and helpful. Make sure to bring a poncho in case you get afternoon monsoon rain.",2016-03-01,Solo,2016-01,ireland,52.865196,-7.9794599
"Wareham, UK",5.0,"There's no doubting that this is on many a travellers list of places to see. It's breathtaking to think how such a massive and inspiring creation Borobudur is. Take your time, chill out, catch your breath up the top; just be careful on the steep narrow steps.  And if you're a white westerner be prepared to be more interesting to the local  school kids than the temple itself. ""Foreigners"" expect to pay much higher prices than locals.",2016-02-28,Friends,2015-07,united kingdom,54.7023545,-3.2765753
"Dallas, TX",4.0,"This is a worthwhile attraction, if you're interested in history, culture, architecture, and all that lot. It's a UNESCO World Heritage Site, which might matter to some people. As for me, I just enjoy seeing things that human hands created so long ago, that the people who did the building have been dead since before my country existed. It's an interesting feeling, to walk around such an ancient and spiritual structure. One might think that the integrity and preservation of this temple would be better served, if they did not allow thousands of tourists walk on it daily, but I guess that's one of the unique characteristics of Indonesia. I would, however, strongly request that if you go here, PLEASE do not handle the Buddha statues, as they have already suffered enough indignities, and won't be around much longer if these molestation continue. Aside from that, wear some comfortable walking/jogging shoes, bring a few bottles of water, and don't forget to pack your sunscreen, or else you'll be crispy for a few days!",2016-02-28,Friends,2015-06,united states,39.7837304,-100.445882
"Osaka, Japan",2.0,"For $20 US (260,000 Rupiah) you get access to a single Buddhist structure that has been deassembled and deassembled over the years, costing millions of dollars. It's not even original. For the same amount of money, you can visit multiple structures in Bagan, Myanmar over multiple weeks' time. Locals pay only $2 (30,000 IDR). It just doesn't add up. That's probably why there were extremely few foreign tourists and hordes of local tourists. The latter treat the site like an amusement park; despite a number of signs forbidding in many climbed and touched and littered the structure with not even the slightest bit of respect to be shown. Maybe because  none of them are Buddhist and therefore attach no significance to the history and spiritual clout this place holds; the same surely would not be allowed to happen at a Masjid open to tourists. This really took away from the experience. It was also incredibly crowded around noon on a Sunday, yet sunrise admission is 40% more expensive! Sadly, the cost just doesn't make it worth the visit. We were pretty disappointed.",2016-02-28,Couples,2016-02,japan,36.5748441,139.2394179
"Amsterdam, The Netherlands",5.0,"Words cannot express how amazing the temple and its surroundings are. This is a must see if you are in Java! My guide, Surantini, made the experience even better by being able to give us a lot of insights into the history of the temple itself as well as the country. Her address is tini.yudanti@gmail.com and both she as well as the temples are really recommended.",2016-02-28,Couples,2016-02,netherlands,52.2434979,5.6343227
"Petaling Jaya, Malaysia",5.0,One of the must visit place i would say if i visit Yogyakarta. Surround by greenish scenery and you will notice it standing right at center of the place...The weather there can be quite hot but never stress us out the joy of being there..the stairs are tall and steep but you will amaze with the rock carfting that never faded...,2016-02-26,Couples,2016-02,malaysia,4.5693754,102.2656823
"Fairfax, Virginia",5.0,"Along with the Prembanan temple, this 9th century Buddhist temple is the reason why most tourists go to Yogyakarta.  Do not miss this as it is truly an awesome sight and be sure to hire a guide to take you through the complex - they are well worth the cost and make the 2 hour tour very enjoyable and educational.  The temple complex itself is huge and spectacular, offering amazing views of not only itself, but also of the surrounding areas.  Quite a bit of this temple had been damaged by an earthquake and it is still under reconstruction.  There are large blocks of limestone lying about, waiting to be relocated to their original place in the structure of the temple.  This gives one a good feel for the enormous task of restoring such a huge structure - A must see on your trip.",2016-02-25,,2016-02,united states,39.7837304,-100.445882
"Singapore, Singapore",5.0,"Magical, historical, impressive. I can't be 'not impressed' by the beauty of Borobudur, never get bored of this place not even once. It's a real world heritage that should be preserved to keep the evidence from the past, suspecting a lot of artifacts are still buried under the ground.",2016-02-25,Family,2015-03,singapore,1.357107,103.8194992
,3.0,Its a nice temple but nothing stuning there. Try to go there when is no cloudy coz you will miss nice landcapes. Many local people even during low season so can be crowded all year round. Few annoying things: tickets for foreigners 10x more expensive than for local people! that is how they trwat you... ehat is more crazy at the end you have to go through the pathway with all the shops and annoying sellers. its like a trap... 10 minutes of  snaking between stalls... radicilous.,2016-02-24,Couples,2016-02,,,
"Bharuch, India",5.0,"Borobudur Buddhist stupa in Java,Indonesia. The magnificent and wonderful place to visit. It's world's largest stupa with artistic sculptures carved on stones. Stupa surrounded by forest and mountains. Landscape from stupa is amazing. Atmosphere here peaceful and mystic. This ancient monument carved Buddha statues as well as Buddha's life and stories from Jatakas, in sculptures few mystic images are there such as angels etc. This place stands as pride of human history.Sunset on Borobudur stupa is amazing experience. Must stay during sunset and sunrise.",2016-02-24,Family,2015-11,india,22.3511148,78.6677428
"Yogyakarta Region, Indonesia",5.0,Visit Borobudur together with oldest group is easier to charter local mini transport inside the park. It have been done many times when The Great Java Rail Tour is in operation. This tour is most followed by Australian created by Kevin Pearce Tours and he felt happy for such the facilities available in the Borobudur Park.,2016-02-24,Business,2015-08,indonesia,-2.4833826,117.8902853
,4.0,"Standing on the third level of the monumental man-made structure I can't avoid wandering whether this structure was in deed made to as a place of worship or something else; if it is - what the hack did the builder do that bad to build such an enormous structure to ""pay"" gods for its sins and how many sins did he/she commit to complete it; is that why ""God"" covered and hid for centuries (?) If it isn't structure of religious nature- what it is as it is obviously constructed -destructed-and repaired by man...and now is not serving original purpose but it is monument to human nature reflecting disrespect, greed, destructive nature and of course attempt to cover all those by an umbrella of restoration work...I wonder - and I do like it... Been here before and will come again...",2016-02-23,Couples,2016-02,,,
uk,5.0,"An amazing mandala that rises out of the Javanese countryside. Surrounded by volcanoes it is truly a magnificent site. The detail on the reliefs is quite mind blowing for the time period it was built in. We used a private guide which is really imperative inorder to understand the story it unfolds.Unable to make the sunrise tour we booked a sunset tour which though not as popular makes for a much quieter, private, spiritual experience as the hoards of people that visit during the day leave and you are left surrounded by the stupas and the beautiful scenery. What an amazing place.",2016-02-23,Couples,2016-02,united kingdom,54.7023545,-3.2765753
"London, UK",5.0,"Absolutely stunning place with a great deal to it, more than just a pretty place to take pictures! Make sure you get a good guide from your hotel to take you round and explain the construction, context, and history. It's quite busy during the day with local tour groups, but hit it in the morning for sunrise. Even during rainy season we had the mother of all light shows. Definitely more impressive and atmospheric than Angkor, which has sadly been over-touristed of late",2016-02-23,Couples,2016-02,united kingdom,54.7023545,-3.2765753
"Yogyakarta Region, Indonesia",4.0,"Is very much peacefull place to be if you can comes at morning time while the sunshine is not to hot to enjoy view from the top of borobudur temple, is awesome view scenery mountenis serounding in borobudur and also you can see mount merapi and merbabu from distance sitting quiet gentle..",2016-02-22,Friends,2016-02,indonesia,-2.4833826,117.8902853
"Kuala Lumpur, Malaysia",5.0,Try to visit the temple for sunrise as it is much less crowded and the view is stunning!There is not much else around it.Good for a day trip from Yogyakarta,2016-02-22,Friends,2016-02,malaysia,4.5693754,102.2656823
